id,created_by,created_date,updated_by,updated_date,country_name,country_code
136,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Mauritius,230
137,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Micronesia,691
138,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Moldova,373
139,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Monaco,377
14,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Italy,39
140,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Mongolia,976
141,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Montenegro,382
143,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Mozambique,258
144,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Myanmar,95
145,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Namibia,264
146,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Nauru,674
147,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Nicaragua,505
148,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Niger,227
15,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Spain,34
150,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,North Korea,850
16,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Argentina,54
17,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Brazil,55
18,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Egypt,20
19,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Greece,30
2,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,India,91
20,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Ireland,353
21,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Israel,972
22,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Kenya,254
23,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Malaysia,60
24,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,New Zealand,64
25,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Pakistan,92
26,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Philippines,63
27,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Singapore,65
28,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,South Korea,82
29,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Switzerland,41
3,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,United Kingdom,44
30,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Thailand,66
31,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Turkey,90
32,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Ukraine,380
33,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Vietnam,84
34,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Austria,43
35,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Belgium,32
36,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Chile,56
37,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Colombia,57
38,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Denmark,45
39,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Finland,358
4,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,China,86
40,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Hong Kong,852
41,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Hungary,36
42,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Indonesia,62
43,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Norway,47
44,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Peru,51
45,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Poland,48
46,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Portugal,351
47,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Saudi Arabia,966
48,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Sweden,46
49,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Taiwan,886
5,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Japan,81
50,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,United Arab Emirates,971
51,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Algeria,213
52,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Angola,244
53,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Bangladesh,880
54,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Bulgaria,359
55,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Cambodia,855
56,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Czech Republic,420
57,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Ecuador,593
58,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Ethiopia,251
59,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Iraq,964
6,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,France,33
60,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Jordan,962
61,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Kuwait,965
62,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Lebanon,961
63,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Morocco,212
64,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Nigeria,234
65,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Romania,40
66,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Serbia,381
67,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Slovakia,421
68,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Tunisia,216
69,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Venezuela,58
7,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Germany,49
70,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Yemen,967
71,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Armenia,374
72,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Azerbaijan,994
73,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Bahrain,973
78,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Belarus,375
79,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Belize,501
8,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Canada,1
80,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Bhutan,975
81,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Bolivia,591
82,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Bosnia and Herzegovina,387
83,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Botswana,267
84,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Burkina Faso,226
85,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Burundi,257
86,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Cape Verde,238
87,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Central African Republic,236
88,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Comoros,269
9,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Australia,61
90,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Congo (Republic of the),242
91,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Costa Rica,506
92,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Croatia,385
93,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Cuba,53
94,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Cyprus,357
95,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Djibouti,253
98,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,East Timor,670
99,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,El Salvador,503
