id,name,content_type_id,codename
280,Can view line item template,70,view_lineitemtemplate
281,Can add login history,71,add_loginhistory
282,Can change login history,71,change_loginhistory
283,Can delete login history,71,delete_loginhistory
284,Can view login history,71,view_loginhistory
285,Can add menu master,72,add_menumaster
286,Can change menu master,72,change_menumaster
287,Can delete menu master,72,delete_menumaster
288,Can view menu master,72,view_menumaster
289,Can add msa content master,73,add_msacontentmaster
290,Can change msa content master,73,change_msacontentmaster
291,Can delete msa content master,73,delete_msacontentmaster
292,Can view msa content master,73,view_msacontentmaster
293,Can add notification,74,add_notification
294,Can change notification,74,change_notification
295,Can delete notification,74,delete_notification
296,Can view notification,74,view_notification
297,Can add number of employee master,75,add_numberofemployeemaster
298,Can change number of employee master,75,change_numberofemployeemaster
299,Can delete number of employee master,75,delete_numberofemployeemaster
300,Can view number of employee master,75,view_numberofemployeemaster
301,Can add payment milestone,76,add_paymentmilestone
302,Can change payment milestone,76,change_paymentmilestone
303,Can delete payment milestone,76,delete_paymentmilestone
304,Can view payment milestone,76,view_paymentmilestone
305,Can add payment milestone bid detail,77,add_paymentmilestonebiddetail
306,Can change payment milestone bid detail,77,change_paymentmilestonebiddetail
307,Can delete payment milestone bid detail,77,delete_paymentmilestonebiddetail
308,Can view payment milestone bid detail,77,view_paymentmilestonebiddetail
309,Can add payment rails batch,78,add_paymentrailsbatch
310,Can change payment rails batch,78,change_paymentrailsbatch
311,Can delete payment rails batch,78,delete_paymentrailsbatch
312,Can view payment rails batch,78,view_paymentrailsbatch
313,Can add po detail,79,add_podetail
314,Can change po detail,79,change_podetail
315,Can delete po detail,79,delete_podetail
316,Can view po detail,79,view_podetail
317,Can add project attachment,80,add_projectattachment
318,Can change project attachment,80,change_projectattachment
319,Can delete project attachment,80,delete_projectattachment
320,Can view project attachment,80,view_projectattachment
321,Can add project bid detail,81,add_projectbiddetail
322,Can change project bid detail,81,change_projectbiddetail
323,Can delete project bid detail,81,delete_projectbiddetail
324,Can view project bid detail,81,view_projectbiddetail
325,Can add project detail,82,add_projectdetail
326,Can change project detail,82,change_projectdetail
327,Can delete project detail,82,delete_projectdetail
328,Can view project detail,82,view_projectdetail
329,Can add project favourite,83,add_projectfavourite
330,Can change project favourite,83,change_projectfavourite
331,Can delete project favourite,83,delete_projectfavourite
332,Can view project favourite,83,view_projectfavourite
333,Can add project invitee,84,add_projectinvitee
334,Can change project invitee,84,change_projectinvitee
335,Can delete project invitee,84,delete_projectinvitee
336,Can view project invitee,84,view_projectinvitee
337,Can add project invitee configuration,85,add_projectinviteeconfiguration
338,Can change project invitee configuration,85,change_projectinviteeconfiguration
339,Can delete project invitee configuration,85,delete_projectinviteeconfiguration
340,Can view project invitee configuration,85,view_projectinviteeconfiguration
341,Can add project list configuration,86,add_projectlistconfiguration
342,Can change project list configuration,86,change_projectlistconfiguration
343,Can delete project list configuration,86,delete_projectlistconfiguration
344,Can view project list configuration,86,view_projectlistconfiguration
345,Can add question and answer,87,add_questionandanswer
346,Can change question and answer,87,change_questionandanswer
347,Can delete question and answer,87,delete_questionandanswer
348,Can view question and answer,87,view_questionandanswer
349,Can add question and answer attachment,88,add_questionandanswerattachment
350,Can change question and answer attachment,88,change_questionandanswerattachment
351,Can delete question and answer attachment,88,delete_questionandanswerattachment
352,Can view question and answer attachment,88,view_questionandanswerattachment
353,Can add rating and review,89,add_ratingandreview
354,Can change rating and review,89,change_ratingandreview
355,Can delete rating and review,89,delete_ratingandreview
356,Can view rating and review,89,view_ratingandreview
357,Can add region master,90,add_regionmaster
358,Can change region master,90,change_regionmaster
359,Can delete region master,90,delete_regionmaster
360,Can view region master,90,view_regionmaster
361,Can add service master,91,add_servicemaster
362,Can change service master,91,change_servicemaster
363,Can delete service master,91,delete_servicemaster
364,Can view service master,91,view_servicemaster
365,Can add state master,92,add_statemaster
366,Can change state master,92,change_statemaster
367,Can delete state master,92,delete_statemaster
368,Can view state master,92,view_statemaster
369,Can add subcontractor coi,93,add_subcontractorcoi
370,Can change subcontractor coi,93,change_subcontractorcoi
371,Can delete subcontractor coi,93,delete_subcontractorcoi
372,Can view subcontractor coi,93,view_subcontractorcoi
373,Can add subcontractor compliance,94,add_subcontractorcompliance
374,Can change subcontractor compliance,94,change_subcontractorcompliance
375,Can delete subcontractor compliance,94,delete_subcontractorcompliance
376,Can view subcontractor compliance,94,view_subcontractorcompliance
377,Can add subcontractor emr,95,add_subcontractoremr
378,Can change subcontractor emr,95,change_subcontractoremr
379,Can delete subcontractor emr,95,delete_subcontractoremr
380,Can view subcontractor emr,95,view_subcontractoremr
381,Can add subcontractor license,96,add_subcontractorlicense
382,Can change subcontractor license,96,change_subcontractorlicense
383,Can delete subcontractor license,96,delete_subcontractorlicense
384,Can view subcontractor license,96,view_subcontractorlicense
385,Can add subcontractor osha,97,add_subcontractorosha
386,Can change subcontractor osha,97,change_subcontractorosha
387,Can delete subcontractor osha,97,delete_subcontractorosha
388,Can view subcontractor osha,97,view_subcontractorosha
389,Can add subcontractor profile,98,add_subcontractorprofile
390,Can change subcontractor profile,98,change_subcontractorprofile
391,Can delete subcontractor profile,98,delete_subcontractorprofile
392,Can view subcontractor profile,98,view_subcontractorprofile
393,Can add subcontractor reference,99,add_subcontractorreference
394,Can change subcontractor reference,99,change_subcontractorreference
395,Can delete subcontractor reference,99,delete_subcontractorreference
396,Can view subcontractor reference,99,view_subcontractorreference
397,Can add subcontractor service,100,add_subcontractorservice
398,Can change subcontractor service,100,change_subcontractorservice
399,Can delete subcontractor service,100,delete_subcontractorservice
400,Can view subcontractor service,100,view_subcontractorservice
401,Can add supervisor profile,101,add_supervisorprofile
402,Can change supervisor profile,101,change_supervisorprofile
403,Can delete supervisor profile,101,delete_supervisorprofile
404,Can view supervisor profile,101,view_supervisorprofile
405,Can add time sheet,102,add_timesheet
406,Can change time sheet,102,change_timesheet
407,Can delete time sheet,102,delete_timesheet
408,Can view time sheet,102,view_timesheet
409,Can add time sheet reject reason,103,add_timesheetrejectreason
410,Can change time sheet reject reason,103,change_timesheetrejectreason
411,Can delete time sheet reject reason,103,delete_timesheetrejectreason
412,Can view time sheet reject reason,103,view_timesheetrejectreason
413,Can add unit of measure master,104,add_unitofmeasuremaster
414,Can change unit of measure master,104,change_unitofmeasuremaster
415,Can delete unit of measure master,104,delete_unitofmeasuremaster
416,Can view unit of measure master,104,view_unitofmeasuremaster
417,Can add user master,105,add_usermaster
418,Can change user master,105,change_usermaster
419,Can delete user master,105,delete_usermaster
420,Can view user master,105,view_usermaster
421,Can add user permission,106,add_userpermission
422,Can change user permission,106,change_userpermission
423,Can delete user permission,106,delete_userpermission
424,Can view user permission,106,view_userpermission
425,Can add user roles,107,add_userroles
426,Can change user roles,107,change_userroles
427,Can delete user roles,107,delete_userroles
428,Can view user roles,107,view_userroles
429,Can add worker attachment,108,add_workerattachment
430,Can change worker attachment,108,change_workerattachment
431,Can delete worker attachment,108,delete_workerattachment
432,Can view worker attachment,108,view_workerattachment
433,Can add worker certificate,109,add_workercertificate
434,Can change worker certificate,109,change_workercertificate
435,Can delete worker certificate,109,delete_workercertificate
436,Can view worker certificate,109,view_workercertificate
437,Can add worker education,110,add_workereducation
438,Can change worker education,110,change_workereducation
439,Can delete worker education,110,delete_workereducation
440,Can view worker education,110,view_workereducation
441,Can add worker experience,111,add_workerexperience
442,Can change worker experience,111,change_workerexperience
443,Can delete worker experience,111,delete_workerexperience
444,Can view worker experience,111,view_workerexperience
445,Can add worker profile,112,add_workerprofile
446,Can change worker profile,112,change_workerprofile
447,Can delete worker profile,112,delete_workerprofile
448,Can view worker profile,112,view_workerprofile
449,Can add worker reference,113,add_workerreference
450,Can change worker reference,113,change_workerreference
451,Can delete worker reference,113,delete_workerreference
452,Can view worker reference,113,view_workerreference
453,Can add worker service,114,add_workerservice
454,Can change worker service,114,change_workerservice
455,Can delete worker service,114,delete_workerservice
456,Can view worker service,114,view_workerservice
457,Can add experience level master,115,add_experiencelevelmaster
458,Can change experience level master,115,change_experiencelevelmaster
459,Can delete experience level master,115,delete_experiencelevelmaster
460,Can view experience level master,115,view_experiencelevelmaster
461,Can add job detail,116,add_jobdetail
462,Can change job detail,116,change_jobdetail
463,Can delete job detail,116,delete_jobdetail
464,Can view job detail,116,view_jobdetail
465,Can add job title master,117,add_jobtitlemaster
466,Can change job title master,117,change_jobtitlemaster
467,Can delete job title master,117,delete_jobtitlemaster
468,Can view job title master,117,view_jobtitlemaster
469,Can add user master,118,add_usermaster
470,Can change user master,118,change_usermaster
471,Can delete user master,118,delete_usermaster
472,Can view user master,118,view_usermaster
473,Can add worker attachment,119,add_workerattachment
474,Can change worker attachment,119,change_workerattachment
475,Can delete worker attachment,119,delete_workerattachment
476,Can view worker attachment,119,view_workerattachment
477,Can add experience level master,120,add_experiencelevelmaster
478,Can change experience level master,120,change_experiencelevelmaster
479,Can delete experience level master,120,delete_experiencelevelmaster
480,Can view experience level master,120,view_experiencelevelmaster
481,Can add job title master,121,add_jobtitlemaster
482,Can change job title master,121,change_jobtitlemaster
483,Can delete job title master,121,delete_jobtitlemaster
484,Can view job title master,121,view_jobtitlemaster
485,Can add user master,122,add_usermaster
486,Can change user master,122,change_usermaster
487,Can delete user master,122,delete_usermaster
488,Can view user master,122,view_usermaster
489,Can add worker attachment,123,add_workerattachment
490,Can change worker attachment,123,change_workerattachment
491,Can delete worker attachment,123,delete_workerattachment
492,Can view worker attachment,123,view_workerattachment
493,Can add experience level master,124,add_experiencelevelmaster
494,Can change experience level master,124,change_experiencelevelmaster
495,Can delete experience level master,124,delete_experiencelevelmaster
496,Can view experience level master,124,view_experiencelevelmaster
497,Can add job detail,125,add_jobdetail
498,Can change job detail,125,change_jobdetail
499,Can delete job detail,125,delete_jobdetail
500,Can view job detail,125,view_jobdetail
501,Can add job title master,126,add_jobtitlemaster
502,Can change job title master,126,change_jobtitlemaster
503,Can delete job title master,126,delete_jobtitlemaster
504,Can view job title master,126,view_jobtitlemaster
505,Can add user master,127,add_usermaster
506,Can change user master,127,change_usermaster
507,Can delete user master,127,delete_usermaster
508,Can view user master,127,view_usermaster
509,Can add worker attachment,128,add_workerattachment
510,Can change worker attachment,128,change_workerattachment
511,Can delete worker attachment,128,delete_workerattachment
512,Can view worker attachment,128,view_workerattachment
513,Can add job detail,129,add_jobdetail
514,Can change job detail,129,change_jobdetail
515,Can delete job detail,129,delete_jobdetail
516,Can view job detail,129,view_jobdetail
